@relation SISPPAFUT
@attribute QEq real
@attribute M real
@attribute PL_L real
@attribute PTS_L real
@attribute LO_L {True, False}
@attribute PRK_L real
@attribute QJE_L real
@attribute QJS_L real
@attribute GA_L real
@attribute GE_L real
@attribute PEE_L real
@attribute QPJ_L real
@attribute PL_V real
@attribute PTS_V real
@attribute LO_V {True, False}
@attribute PRK_V real
@attribute QJE_V real
@attribute QJS_V real
@attribute GA_V real
@attribute GE_V real
@attribute PEE_V real
@attribute QPJ_V real
@attribute Resultado {L, E, V}
@data
1,0.6364,0.6842,0,True,0.9850,1,1,0,0,0.5473,0,0.1053,0,False,0.1404,1,1,0,0,0.5583,0,L
1,0.6364,0.4211,0,True,0.1404,1,1,0,0,0.8677,0,0.5263,0,False,0.7619,1,1,0,0,0.3483,0,V
1,0.6364,0.2632,0,True,0.4737,1,1,0,0,0.5255,0,1,0,False,0.9975,1,1,0,0,0.5364,0,V
1,0.6364,0.1579,0,True,0.1404,1,1,0,0,0.5910,0,0.7895,0,False,0.9348,1,1,0,0,0.8119,0,V
1,0.6364,0.3158,0,True,0.3609,1,1,0,0,0.5146,0,0,0,False,0.1404,1,1,0,0,0.5364,0,E
1,0.6364,0.2105,0,True,0.1404,1,1,0,0,0.6905,0,0.5789,0,False,0.9724,1,1,0,0,0.7233,0,V
1,0.6364,0.8421,0,True,0.2256,1,1,0,0,0.2718,0,0.6316,0,False,0.7444,1,1,0,0,0.4587,0,L
1,0.6364,0.4737,0,True,0.1404,1,1,0,0,0.4915,0,0.8947,0,False,0.8396,1,1,0,0,0.6359,0,L
1,0.6364,0.3684,0,True,0.3083,1,1,0,0,0.9005,0,0.0526,0,False,0.1404,1,1,0,0,0.4806,0,E
1,0.6364,0.7368,0,True,0.5639,1,1,0,0,0.6019,0,0.9474,0,False,0.9574,1,1,0,0,0.3701,0,E
1,0.7273,0.8947,0.2,True,0.9975,1,1,0.1154,0,0.5364,0.1667,0.2632,0,False,0.1278,0.5,1,0,0.0667,0.8677,0.1667,V
1,0.7273,0.8421,0.2,True,0.9674,1,1,0.1154,0.0714,0.8119,0.1667,0.0526,0,False,0.4236,1,1,0,0.2,0.5255,0.1667,L
1,0.7273,0.5789,0.0667,True,0.9549,1,1,0,0,0.3701,0.1667,0.4737,0.0667,False,0.2481,1,1,0,0,0.9005,0.1667,L
1,0.7273,0.7368,0.2,True,0.6617,1,1,0.0385,0,0.3483,0.1667,1,0.2,False,0.9850,1,1,0.1667,0,0.5473,0.1667,V
1,0.7273,0,0,True,0.1278,1,1,0,0.2857,0.5583,0.1667,0.5263,0.0667,False,0.5363,1,1,0,0,0.6019,0.1667,L
1,0.7273,0.3684,0.0667,True,0.1278,1,1,0,0,0.5364,0.1667,0.1579,0,False,0.1278,1,1,0.0417,0.2,0.5910,0.1667,V
1,0.7273,0.2105,0,True,0.8221,1,1,0.0385,0.2143,0.4587,0.1667,0.1053,0,False,0.1278,1,1,0.0417,0.2667,0.6905,0.1667,L
1,0.7273,0.3158,0,True,0.8747,1,1,0,0.0714,0.6359,0.1667,0.7895,0.2,False,0.1679,1,1,0.125,0.0667,0.2718,0.1667,L
1,0.7273,0.9474,0.2,True,0.9424,1,1,0.1538,0.0714,0.7233,0.1667,0.6316,0.0667,False,0.2105,1,1,0,0,0.5146,0.1667,E
1,0.7273,0.4211,0.0667,True,0.1278,0.5,1,0,0,0.4806,0.1667,0.6842,0.2,False,0.1278,1,1,0.0417,0,0.4915,0.1667,E
1,0.7273,0.4211,0.2,True,0.1679,0.5,1,0.1154,0.3571,0.2718,0.3333,0.3158,0.1333,False,0.1278,1,1,0.0833,0.1333,0.4806,0.3333,L
1,0.7273,0.1053,0.0667,True,0.5363,0.5,1,0,0.1429,0.6019,0.3333,0.2105,0.0667,False,0.2481,1,1,0,0.0667,0.9005,0.3333,L
1,0.7273,0.3684,0.2,True,0.1278,1,1,0.0769,0.2857,0.5583,0.3333,0.4737,0.2,False,0.6617,1,1,0.0833,0.1333,0.3483,0.3333,E
1,0.7273,0.8421,0.2667,True,0.1278,1,1,0.1154,0.1429,0.4915,0.3333,0.7895,0.2667,False,0.9549,1,1,0.0417,0,0.3701,0.3333,V
1,0.7273,0.6842,0.2,True,0.1278,1,1,0.0769,0.0714,0.8677,0.3333,0.9474,0.4,False,0.9674,1,1,0.1667,0.0667,0.8119,0.3333,V
1,0.7273,0.0526,0,True,0.4236,1,1,0,0.2857,0.5255,0.3333,0.1579,0.0667,False,0.1278,1,1,0.125,0.3333,0.5364,0.3333,L
1,0.7273,0,0,True,0.1278,1,1,0.0769,0.5714,0.6905,0.3333,0.7368,0.2,False,0.8747,1,1,0.1667,0.0667,0.6359,0.3333,V
